codcnh,nombre,municipio,provincia,cod_postal,camas,clase,dependencia,complejo
010035,Red de Salud Mental de Araba (Hospital Psiquiátrico de Araba),Vitoria-Gasteiz,Álava,01006,175,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,
010040,Hospital Vithas Vitoria,Vitoria-Gasteiz,Álava,01008,68,Hospitales Generales,Privados,
010053,Hospital Quironsalud Vitoria,Vitoria-Gasteiz,Álava,01002,26,Hospitales Generales,Privados,
010088,Hospital de Leza,Laguardia,Álava,01309,63,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,
010090,Hospital Universitario Araba (Sede Txagorritxu y Sede Santiago),Vitoria-Gasteiz,Álava,01009,806,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
020030,Hospital General Universitario de Albacete,Albacete,Albacete,02006,510,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario de Albacete
020061,Hospital Quironsalud Santa Cristina,Albacete,Albacete,02003,42,Hospitales Generales,Privados,
020096,Hospital de Hellín,Hellín,Albacete,02400,135,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
020100,Hospital Quironsalud Albacete,Albacete,Albacete,02008,65,Hospitales Generales,Privados,
020117,Hospital Universitario Nuestra Señora del Perpetuo Socorro,Albacete,Albacete,02006,159,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario de Albacete
020136,Hospital General de Almansa,Almansa,Albacete,02640,93,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
020147,Hospital General de Villarrobledo,Villarrobledo,Albacete,02600,114,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
020158,Centro de Atención A La Salud Mental La Milagrosa,Albacete,Albacete,02006,30,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario de Albacete
030015,Hospital General Universitario Dr. Balmis,Alicante/Alacant,Alicante,03010,807,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030036,Clínica Vistahermosa Grupo Ha,Alicante/Alacant,Alicante,03015,106,Hospitales Generales,Privados,
030041,Vithas Hospital Perpetuo Internacional,Alicante/Alacant,Alicante,03013,103,Hospitales Generales,Privados,
030067,Hospital Virgen de Los Lirios,Alcoy/Alcoi,Alicante,03804,305,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030089,Hospital IMED San Jorge,Alcoy/Alcoi,Alicante,03802,26,Hospitales Generales,Privados,
030092,Hospital Clínica Benidorm,Benidorm,Alicante,03501,163,Hospitales Generales,Privados,
030128,Hospital San Carlos de Denia Grupo HA,Dénia,Alicante,03700,31,Hospitales Generales,Privados,
030152,Hospital General Universitario de Elche,Elche/Elx,Alicante,03203,408,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030165,Hospital General Universitario de Elda-Virgen de La Salud,Elda,Alicante,03600,513,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030187,Hospital Sant Vicent del Raspeig,San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,03690,179,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030190,Sanatorio San Francisco de Borja Fontilles,"Vall de Laguar, la",Alicante,03791,96,Hospitales de media y larga estancia,Organizaciones No Gubernamentales,
030204,Hospital Marina Baixa de La Vila Joiosa,"Villajoyosa/Vila Joiosa, la",Alicante,03570,270,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030211,Hospital Vega Baja de Orihuela,Orihuela,Alicante,03314,336,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030226,Hospital Medimar Internacional,Alicante/Alacant,Alicante,03016,66,Hospitales Generales,Privados,
030232,Hospital Psiquiátrico Penitenciario de Fontcalent,Alicante/Alacant,Alicante,03113,432,Hospitales de salud mental y tratamiento de toxicomanías,Otros Centros o Establecimientos Públicos de Dependencia Estatal,
030250,Hospital Universitario San Juan de Alicante,Sant Joan d'Alacant,Alicante,03550,396,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
030298,Hospital Quironsalud Torrevieja,Torrevieja,Alicante,03184,132,Hospitales Generales,Privados,
