cod_postal,lat,lon,town
01001,42.849,-2.6724,Vitoria-Gasteiz
01002,42.8525,-2.661,Vitoria-Gasteiz
01003,42.8459,-2.6582,Vitoria-Gasteiz
01004,42.8442,-2.6667,Vitoria-Gasteiz
01005,42.8435,-2.6715,Vitoria-Gasteiz
01006,42.8376,-2.6655,Vitoria-Gasteiz
01007,42.8358,-2.69385,Vitoria-Gasteiz
01008,42.8472,-2.6833,Vitoria-Gasteiz
01009,42.8535,-2.685,Vitoria-Gasteiz
01010,42.8577,-2.69967,Vitoria-Gasteiz
01012,42.8546,-2.6768,Vitoria-Gasteiz
01013,42.87173,-2.66263,Vitoria-Gasteiz
01015,42.8421,-2.7031,Vitoria-Gasteiz
01071,42.85,-2.6727,Vitoria-Gasteiz
01080,42.85,-2.6727,Vitoria-Gasteiz
01100,42.8403,-2.6055,Centro Militar Araka
01110,42.6697,-2.3512,Santa Cruz De Campezo
01117,42.74253,-2.33657,Harana/Valle De Arana
01118,42.6371,-2.53206,Obecuri
01120,42.73905,-2.44665,Arraia-Maeztu
01128,42.69602,-2.44175,Azazeta
01129,42.78887,-2.43826,Onraita
01130,42.95705,-2.8196,Zuia
01138,42.95834,-2.72567,Ondategi
01139,42.95132,-2.83205,Gilierna
01160,43.0516,-2.5652,Ibarra
01165,43.0474,-2.6317,Oleta
01169,43.04539,-2.56454,Arexola
01170,42.96722,-2.66213,Legutio
01191,42.86867,-2.7686,Uribarri-Dibiña
01192,42.8587,-2.57451,Arbulu
01193,42.82746,-2.55712,Ixona
01194,42.80767,-2.64533,Castillo
01195,42.83058,-2.7525,Gometxa
01196,42.89425,-2.71852,Antezana/Andetxa
01200,42.8516,-2.3912,Agurain
01206,42.88288,-2.48618,Mendijur
01207,42.84204,-2.37432,Mezkia
01208,42.89961,-2.38891,Albeiz
01211,42.67126,-2.7821,Moraza
01212,42.64976,-2.79818,Ocio
01213,42.74671,-2.93546,Leziñana
01216,42.69915,-2.58988,Faidu
01220,42.73361,-2.86714,Manzanos
01230,42.8184,-2.8095,Nanclares De La Oca
01240,42.8412,-2.5118,Alegria-Dulantzi
01250,42.8919,-2.3142,Araia
01260,42.86534,-2.27746,Urabain
01300,42.5546,-2.5853,Laguardia
01306,42.4945,-2.5734,Lapuebla De Labarca
01307,42.54482,-2.67408,Mañueta
01308,42.55758,-2.5106,Assa
01309,42.56192,-2.59046,Leza
01320,42.50475,-2.4368,Oion
01321,42.5015,-2.5063,Laserna
01322,42.55088,-2.42716,Labraza
01330,42.5897,-2.7957,Labastida
01340,42.5152,-2.6186,Elciego
01400,43.142,-2.9652,Laudio/Llodio
01408,43.0993,-2.999,Luiaondo
01409,42.89723,-2.39187,Irabien
01420,42.79499,-2.92489,Paul
01423,42.78851,-3.04339,Bellojin
01426,42.83876,-3.04279,Villanueva De Valdegovia
01427,42.87243,-3.16813,Valpuesta
01428,42.82146,-2.91251,Villaluenga
01430,42.8699,-2.8867,Zuhatzu-Kuartango
01439,42.89619,-2.89135,Etxabarri-Kuartango
01440,42.9535,-2.90105,Urkabustaiz
01449,42.9653,-2.91341,Abezia
01450,43.02806,-2.95798,Ziorraga
01468,42.99927,-2.99505,Saratxo
01470,43.05135,-3.00045,Etxegoien
01474,43.1219,-3.1302,Artziniega
01476,43.0784,-3.0434,Respaldiza
01477,43.08087,-3.09326,Menagarai-Beotegi
01478,43.11294,-3.13193,Mendieta
01479,43.05606,-3.0538,Olabezar
01510,42.9168,-2.65435,Miñano Mayor
01520,42.90658,-2.61445,Zurbao
02001,38.9953,-1.8525,Albacete
02002,38.9886,-1.8525,Albacete
02003,38.9885,-1.8611,Albacete
02004,38.9933,-1.8653,Albacete
02005,39.0007,-1.8628,Albacete
02006,38.9898,-1.8715,Albacete
02007,39.0168,-1.8845,Albacete
02008,38.9863,-1.846,Albacete
02049,38.956,-1.88845,Albacete
02070,38.9942,-1.8564,Albacete
02071,38.9942,-1.8564,Albacete
02080,38.9942,-1.8564,Albacete
02100,39.25,-1.9167,Tarazona De La Mancha
02110,39.1156,-1.96475,La Grajuela
02120,38.7288,-2.005,Peñas De San Pedro
02124,38.62663,-2.02152,Casasola
02125,38.55097,-2.09747,Royo Odrea
02127,38.71753,-2.12726,La Solana
02129,38.6906,-2.04946,El Molinar
02130,38.5814,-2.2131,Bogarra
02136,38.5975,-2.3442,Paterna De Madera
02137,38.61162,-2.3206,Batan Del Puerto
02139,38.60645,-2.14415,"Dehesa, La (Ayna)"
02140,38.84763,-1.94957,Albacete
02141,38.7209,-1.9114,Pozohondo
02142,38.65953,-1.8963,Mullidar
02150,39.135,-1.677,Valdeganga
02151,39.1019,-1.5582,Casas De Juan Nuñez
02152,39.0956,-1.3609,Alatoz
02153,39.11495,-1.2749,Carcelen
02154,39.1013,-1.48225,Pozo-Lorente
02155,39.0687,-1.7435,Tinajeros
02156,39.0397,-1.7014,La Felipa
02160,38.9493,-2.3549,Lezuza
02161,38.9095,-2.25435,Tiriez
02162,38.96253,-2.12663,La Herrera
02200,39.2833,-1.4667,Casas-Ibañez
02210,39.2,-1.4333,Alcala Del Jucar
02211,39.19207,-1.3875,Casas Del Cerro
02212,39.25,-1.3333,Casas De Ves
02213,39.2115,-1.2292,La Pared
02214,39.24804,-1.30076,El Viso
02215,39.31653,-1.34687,Cilanco
02220,39.1794,-1.7908,Motilleja
